,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
0,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,45,Lithium Polymer,Android 6.0 & iOS 12.0 and above,32 GB,No,43772,4441
2,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise,1199,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7,Yes,5.0,240 x 286,45.72,150,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,Yes,412996,27254
3,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68 Smartwatch",beatXP,1299,4.1,Square,Black,"Marv Neo 1.85'' HD Display Bluetooth Calling Smart Watch, Health Tracking & IP68",7,Yes,5.0,240 x 280,46.0,150,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,Yes,69000,7226
6,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise,1199,4.1,Rectangle,Blue,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7,Yes,5.0,240 x 286,45.72,80,Yes,Android 6.0 & iOS 12.0 and above,32 GB,Lithium Ion,412996,27254
9,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes Smartwatch",Fire-Boltt,1099,4.1,Round,Grey,"Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes",11,No,5.0,240 x 240,1.3,36,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,190799,25982
10,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
11,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult,1299,4.1,Square,Black,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",5,Yes,5.2,240 x 283,49.53,60,Lithium Polymer,Android 6.0 & iOS 12.0 and above,32 GB,No,43772,4441
12,"Fire-Boltt Talk 1.28""Bluetooth Calling with SpO2, Metal Body & Luxury Design Smartwatch",Fire-Boltt,999,4.1,Round,Black,"Talk 1.28""Bluetooth Calling with SpO2, Metal Body & Luxury Design",15,Yes,5.0,240 x 240,32.51,60,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,288859,52785
13,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch,Fastrack,1499,4.2,Rectangle,Black,Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces,5,Yes,5.2,240 x 284,46.48,41.9,Lithium Polymer,Android 6.0 & iOS 12.0 and above,32 GB,No,140500,11675
14,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise,1199,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7,Yes,5.3,240 x 286,45.72,31.1,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,Yes,412996,27254
19,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant Smartwatch",Noise,1708,4.1,Rectangle,Black,"Icon Buzz 1.69"" Display with Bluetooth Calling, Built-In Games, Voice Assistant",7,Yes,5.1,240 x 280,42.93,50,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,446721,31754
20,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Silver,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
21,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Blue,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
26,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1099,4.2,Square,Gold,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
27,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt,1499,4.2,Square,Green,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",5,Yes,5.0,240 x 286,46.48,40,Lithium Ion,Android 6.0 & iOS 12.0 and above,32 GB,No,220415,34430
